ID,site name,latitude,longitude,country
br_amazonas_manaus_2,"BR Amazonas Manaus",-2.441700,-59.785800,"Brazil"
br_amazonas_manaus__zf2_c14,"BR Amazonas Manaus ZF2 C14",-2.589203,-60.114903,"Brazil"
br_amazonas_manaus__zf2_k34,"BR Amazonas Manaus ZF2 K34",-2.609097,-60.209297,"Brazil"
br_amazonas_manaus_embrapa,"BR Amazonas Manaus EMBRAPA",-2.890528,-59.969778,"Brazil"
br_amazonas_sao_gabriel_da_cachoeira,"BR Amazonas Sao Gabriel da Cachoeira",0.212333,-66.764733,"Brazil"
br_amazonas_sao_gabriel_da_cachoeira,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",0.210100,-66.752900,"Brazil"
br_amazonas_zf3_colosso_farm,"ZF3, Colosso farm",-2.390700,-59.883500,"Brazil"
br_distritofederal_aguas_emendadas,"BR Distrito Federal Aguas Emendadas",-15.581750,-47.656300,"Brazil"
br_distritofederal_park_brasilia,"BR Distrito Federal Park Brasilia",-15.743333,-47.916668,"Brazil"
br_goias_alianca,"BR Goias Alianca",-14.733333,-47.533333,"Brazil"
br_matogrosso_agri_school,"BR Mato Grosso Agri School",-10.080833,-56.180279,"Brazil"
br_matogrosso_alta_floresta,"BR Mato Grosso Alta Floresta",-9.871339,-56.104453,"Brazil"
br_matogrosso_capuaba_farm,"BR Mato Grosso Capuaba farm",-13.287500,-56.088200,"Brazil"
br_matogrosso_chapada,"BR Mato Grosso Chapada",-15.360644,-55.830143,"Brazil"
br_matogrosso_cuiaba_brazil,"BR Mato Grosso Cuiaba Brazil",-15.555244,-56.070214,"Brazil"
br_matogrosso_cuiaba_miranda,"BR Mato Grosso Cuiaba Miranda",-15.729500,-56.020800,"Brazil"
br_matogrosso_pantanal,"BR Mato Grosso Pantanal",-16.395500,-56.621833,"Brazil"
br_matogrosso_pantanal_wetland,"BR Mato Grosso Pantanal Wetland",-16.498000,-56.412000,"Brazil"
br_matogrosso_sinop_mato_grosso,"BR Mato Grosso Sinop",-11.412292,-55.324703,"Brazil"
br_matogrossodosul_campo_grande_sonda,"BR Mato Grosso do Sul Campo Grande SONDA",-20.438300,-54.538100,"Brazil"
br_matogrossodosul_southern_pantanal_wetland,"Southern Pantanal Wetland",-19.565000,-57.018000,"Brazil"
br_minasgerais_itajuba,"BR Minas Gerais Itajuba",-22.413250,-45.452389,"Brazil"
br_minasgerais_pandeiros,"BR Minas Gerais Pandeiros",-14.848278,-43.987972,"Brazil"
br_minasgerais_parque_stadual_de_mata_seca,"BR Minas Gerais Parque Stadual de Mata Seca",-14.878227,-43.987578,"Brazil"
br_para_amazonian_mangroves,"BR Para Amazonian mangroves",-0.666100,-47.283300,"Brazil"
br_para_belterra,"BR Para Belterra",-2.648483,-54.951650,"Brazil"
br_para_braganca_para,"BR Para Braganca Para",-0.723708,-48.508097,"Brazil"
br_para_caxiuana_forest_almeirim,"BR Para Caxiuana Forest Almeirim",-1.719720,-51.459000,"Brazil"
br_para_santarem_km67_primary_forest,"BR Para Santarem Km67 Primary Forest",-2.856700,-54.958900,"Brazil"
br_para_santarem_km77_pasture,"BR Para Santarem Km77 Pasture",-3.011900,-54.536499,"Brazil"
br_para_santarem_km83_logged_forest,"BR Para Santarem Km83 Logged Forest",-3.018029,-54.971435,"Brazil"
br_para_tukurui,"BR Para Tukurui",-3.716666,-49.683331,"Brazil"
br_pernambuco_caatinga_serra_talhada,"BR Pernambuco Caatinga Serra Talhada",-7.968200,-38.384200,"Brazil"
br_pernambuco_petrolina_sonda,"BR Pernambuco Petrolina SONDA",-9.069100,-40.320110,"Brazil"
br_praiso_do_sul,"BR Paraiso do Sul",-29.743974,-53.150333,"Brazil"
br_riodejaneiro_rio_de_janeiro_ufrj,"BR Rio de Janeiro UFRJ",-22.857306,-43.233806,"Brazil"
br_riograndedonorte_natal,"BR Rio Grande do Norte Natal",-5.841500,-35.199500,"Brazil"
br_riograndedosul_sao_martinho_da_serra,"BR Rio Grande do Sul Martinho da Serra",-29.442800,-53.823100,"Brazil"
br_rondoni_ji_parana,"BR Rondoni Ji Parana",-10.860000,-61.799999,"Brazil"
br_rondonia_ariquiums,"BR Rondonia Ariquiums",-9.916667,-63.033332,"Brazil"
br_rondonia_jaru,"BR Rondonia Jaru",-10.386164,-62.547749,"Brazil"
br_rondonia_jaru_reserve,"BR Rondonia Jaru Reserve",-10.083333,-61.933333,"Brazil"
br_rondonia_jaru_town,"BR Rondonia Jaru Town",-10.443056,-62.467778,"Brazil"
